candidate_id,rank,score,reasoning
CAND_0066956,1,-5.529081,"Candidate holds the position of HR Manager with 3.7 years of experience, possesses AI core skills, and maintains a 0.66 response rate."
CAND_0032848,2,-5.985173,"The candidate has 7.8 years of experience, holds a Business Analyst role, specializes in AI core skills (none listed), and maintains a 50% response rate."
CAND_0055034,3,-6.0598745,"The candidate has 2.4 years of experience, currently holds a Customer Support position, specializes in AI core skills, and maintains a 0.73 response rate."
CAND_0051851,4,-6.071,"The candidate has 8.4 years of experience, holds an Accountant title, possesses AI core skills (0), and maintains a response rate of 0.16."
CAND_0025712,5,-6.082981,"The candidate has 4.2 years of experience, holds a Civil Engineer title, possesses AI core skills at level 0, and maintains a 50% response rate."
CAND_0075996,6,-6.0910134,"The candidate holds a Mechanical Engineer position with 13.3 years of experience, possesses AI core skills rated at 0, and maintains a 0.24 response rate."
CAND_0030879,7,-6.0980124,"The candidate has 11 years of experience, holds the Operations Manager title, specializes in AI core skills, and maintains a 45% response rate."
CAND_0026976,8,-6.1062694,"The candidate has 4.7 years of experience, holds a Business Analyst title, specializes in AI core skills (none listed), and maintains a 0.45 response rate."
CAND_0068056,9,-6.135982,"The candidate has 8.5 years of experience, holds the HR Manager title, possesses AI core skills, and maintains a 0.16 response rate."
CAND_0017630,10,-6.1441536,"The candidate has 8.9 years of experience, holds a Business Analyst role, specializes in AI core skills (0), and maintains a 10% response rate."
CAND_0053968,11,-6.1616707,"The candidate has 10.1 years of experience, holds the title of Business Analyst, specializes in AI core skills with a focus on 0, and maintains a response rate of 0."
CAND_0097355,12,-6.195503,"The candidate has 9.7 years of experience, holds the title of Marketing Manager, specializes in AI core skills (0), and maintains a 0.32 response rate."
CAND_0012214,13,-6.211001,"The candidate has 5.7 years of experience, holds a Project Manager title, specializes in AI core skills, and maintains a 0.66 response rate."
CAND_0092736,14,-6.2222404,"The candidate has 5.0 years of experience, holds a Civil Engineer title, specializes in AI core skills with a score of 0, and maintains a response rate of 0.12."
CAND_0041164,15,-6.2312784,"The candidate has 11.4 years of experience, holds the title of Civil Engineer, possesses AI core skills not specified, and maintains a response rate of 0.37."
CAND_0040682,16,-6.2499638,"The candidate has 4.2 years of experience, holds a Business Analyst title, specializes in AI core skills, and maintains a 0.24 response rate."
CAND_0069929,17,-6.2511206,"The candidate has 5.5 years of experience, holds an Accountant title, specializes in AI core skills, and maintains a 0.41 response rate."
CAND_0078288,18,-6.254431,"The candidate has 14.9 years of experience, holds the Operations Manager title, specializes in AI core skills (0), and maintains a response rate of 0.11."
CAND_0034716,19,-6.279477,"The candidate has 11.8 years of experience, holds the title of Accountant, possesses AI core skills totaling 0, and maintains a response rate of 0.69."
CAND_0007278,20,-6.3656683,"The candidate has 12.3 years of experience, holds the Customer Support position, specializes in AI core skills (0), and maintains a 0.62 response rate."
CAND_0031736,21,-6.3764663,"The candidate has 4.1 years of experience, holds the title of Content Writer, specializes in AI core skills, and maintains a response rate of 0.53."
CAND_0054885,22,-6.4122324,"The candidate has 4.5 years of experience, is currently an Operations Manager, specializes in AI core skills, and maintains a 68% response rate."
CAND_0099908,23,-6.413695,"The candidate has 14.8 years of experience, holds the title of HR Manager, possesses AI core skills in 0 areas, and maintains a response rate of 0.18."
CAND_0086129,24,-6.4152613,"The candidate has 12 years of experience, holds the title of HR Manager, specializes in AI core skills, and maintains a response rate of 0.56."
CAND_0050356,25,-6.4520993,"The candidate has 6.3 years of experience, holds a Marketing Manager title, specializes in AI core skills, and maintains a 0.53 response rate."
CAND_0046861,26,-6.4567566,"The candidate has 3.0 years of experience, holds a Civil Engineer title, specializes in AI core skills, and maintains a 9% response rate."
CAND_0051556,27,-6.4908724,"The candidate has 3.5 years of experience, holds the title of Mechanical Engineer, specializes in AI core skills (0), and maintains a response rate of 0.32."
CAND_0034701,28,-6.5328064,"The candidate has 6.7 years of experience, holds a Business Analyst title, specializes in AI core skills, and maintains a 30% response rate."
CAND_0046612,29,-6.5378447,"The candidate has 13.9 years of experience, holds the HR Manager title, possesses AI core skills at level 0, and maintains a response rate of 0.23."
CAND_0012229,30,-6.5677385,"The candidate has 10.5 years of experience, holds a Customer Support role, possesses AI core skills not specified, and maintains a 31% response rate."
CAND_0015437,31,-6.574246,"The candidate has 4.3 years of experience, holds an Accountant title, specializes in AI core skills (0), and maintains a 60% response rate."
CAND_0015569,32,-6.583968,"The candidate has 11.5 years of experience, holds the title of HR Manager, specializes in AI core skills with a score of 0, and has a response rate of 0.62"
CAND_0020393,33,-6.6178412,"The candidate has 10.2 years of experience, holds a Civil Engineer title, excels in AI core skills (0), and maintains a 0.73 response rate."
CAND_0089231,34,-6.665827,"The candidate has 10 years of experience, holds the title of Civil Engineer, possesses AI core skills with a score of 0, and maintains a response rate of 0.35."
CAND_0059879,35,-6.7293205,"The candidate has 11.5 years of experience, holds the title of Operations Manager, possesses AI core skills (none listed), and maintains a response rate of 0.33."
